# mass	sfr	metal
1.038817310333251953e+01 5.054901242256164551e-01 9.098363876342773438e+00
1.029262256622314453e+01 5.119600892066955566e-01 9.083806991577148438e+00
1.095773220062255859e+01 1.269040107727050781e+00 9.139601707458496094e+00
9.635282516479492188e+00 -1.904399096965789795e-01 8.951472282409667969e+00
1.018516063690185547e+01 2.729901075363159180e-01 8.963333129882812500e+00
1.035553073883056641e+01 5.780000686645507812e-01 8.981043815612792969e+00
9.741691589355468750e+00 -7.023999094963073730e-01 8.730245590209960938e+00
9.476963043212890625e+00 -2.894990518689155579e-02 8.878332138061523438e+00
1.002997112274169922e+01 2.655800879001617432e-01 8.911158561706542969e+00
6.972572326660156250e+00 -1.344699978828430176e+00 8.999898910522460938e+00
9.798529624938964844e+00 -1.480199098587036133e-01 8.907164573669433594e+00
1.064593219757080078e+01 6.143100857734680176e-01 9.023445129394531250e+00
9.665632247924804688e+00 -7.232199311256408691e-01 8.858737945556640625e+00
1.067309188842773438e+01 5.685200691223144531e-01 9.042117118835449219e+00
1.045350837707519531e+01 5.399301052093505859e-01 9.067216873168945312e+00
1.014925098419189453e+01 4.624300897121429443e-01 9.090517997741699219e+00
9.309617042541503906e+00 -1.000899910926818848e+00 8.457392692565917969e+00
1.073420524597167969e+01 1.093510150909423828e+00 8.972666740417480469e+00
9.312781333923339844e+00 -1.094899028539657593e-01 8.515007972717285156e+00
9.806982040405273438e+00 1.691800951957702637e-01 8.962895393371582031e+00
9.784481048583984375e+00 -6.788198947906494141e-01 8.777679443359375000e+00
9.755276679992675781e+00 -2.227990329265594482e-02 8.893731117248535156e+00
1.007919406890869141e+01 2.044400870800018311e-01 8.873686790466308594e+00
9.639078140258789062e+00 -8.098990470170974731e-02 8.960891723632812500e+00
1.055945682525634766e+01 3.282200992107391357e-01 9.115571975708007812e+00
8.339308738708496094e+00 -6.228299140930175781e-01 8.616164207458496094e+00
8.856485366821289062e+00 -4.417499005794525146e-01 8.151617050170898438e+00
1.000422191619873047e+01 -1.903999000787734985e-01 8.699117660522460938e+00
9.410532951354980469e+00 -2.090990357100963593e-02 8.725524902343750000e+00
1.058627319335937500e+01 3.824701011180877686e-01 9.033895492553710938e+00
9.720437049865722656e+00 4.341700971126556396e-01 8.871869087219238281e+00
1.057342529296875000e+01 1.142730116844177246e+00 9.112309455871582031e+00
9.618636131286621094e+00 -2.992990612983703613e-02 8.791608810424804688e+00
8.865863800048828125e+00 -6.285998821258544922e-01 8.423813819885253906e+00
8.481529235839843750e+00 -8.070499300956726074e-01 8.385022163391113281e+00
9.834881782531738281e+00 2.813101112842559814e-01 9.078618049621582031e+00
1.044622993469238281e+01 6.433801054954528809e-01 9.139064788818359375e+00
1.031922054290771484e+01 6.331700682640075684e-01 9.174712181091308594e+00
8.174825668334960938e+00 -1.000959873199462891e+00 8.142926216125488281e+00
9.477128982543945312e+00 -2.191799134016036987e-01 8.490283966064453125e+00
1.020240020751953125e+01 3.547800779342651367e-01 9.091634750366210938e+00
1.029534530639648438e+01 1.035130143165588379e+00 8.847977638244628906e+00
9.861999511718750000e+00 -2.442999035120010376e-01 8.952957153320312500e+00
9.526808738708496094e+00 -1.897299140691757202e-01 8.618146896362304688e+00
9.741575241088867188e+00 4.668000936508178711e-01 8.677244186401367188e+00
1.049501705169677734e+01 3.520300984382629395e-01 9.115133285522460938e+00
8.518426895141601562e+00 -7.170898914337158203e-01 8.274804115295410156e+00
1.042677783966064453e+01 6.790601015090942383e-01 8.904895782470703125e+00
9.981909751892089844e+00 4.978000819683074951e-01 8.991963386535644531e+00
1.029881000518798828e+01 5.843400955200195312e-01 8.913234710693359375e+00
